"Name" "price" "lon" "lat"
"161" "359 Southwood DrBuffalo, NY" "$126,233" -78.8568403 42.9854902
"162" "16 Zimmerman BlvdBuffalo, NY" "$109,900" NA NA
"163" "289 Cable StKaisertown, Buffalo, NY" "$60,000" NA NA
"164" "42 Woodette PlBlack Rock, Buffalo, NY" "$147,686" NA NA
"165" "235 Woodland DrBuffalo, NY" "$129,900" -78.843887 42.979541
"166" "66 Gladstone StMilitary, Buffalo, NY" "$59,900" -78.8930172 42.9471109
"167" "707 Mount Vernon RdBuffalo, NY" "$61,480" -78.787241 42.945413
"168" "934 Kensington AveLaSalle, Buffalo, NY" "$34,900" -78.8195727 42.9357873
"169" "40 W Woodside AveSouth Park, Buffalo, NY" "$99,900" -78.830814 42.8427941
"170" "88 Rano StRiverside Park, Buffalo, NY" "$200,000" NA NA
"171" "221 Virginia StLakeview, Buffalo, NY" "$395,000" NA NA
"172" "721 Ashland AveForest, Buffalo, NY" "$950,000" NA NA
"173" "235 W Utica StDelaware-West Ferry, Buffalo, NY" "$229,900" NA NA
"174" "600 Main St #901Central Business District, Buffalo, NY" "$219,000" -76.8524117 39.1077176
"175" "20 Lester StBabcock, Buffalo, NY" "$69,000" -78.8290404 42.8692034
"176" "268 Newburgh AveSchiller Park, Buffalo, NY" "$49,000" -78.8089463 42.9220554
"177" "458 Mang AveKenmore, Buffalo, NY" "$98,900" NA NA
"178" "290 Hazelwood AveKenfield, Buffalo, NY" "$49,900" -78.8059733 42.9270707
"179" "148 Pries AveTriangle, Buffalo, NY" "$99,900" NA NA
"180" "4307 Linwood AveBuffalo, NY" "$169,900" -78.8193066 42.7993942
"181" "588 Potomac AveForest, Buffalo, NY" "$300,000" -78.8774964 42.9243875
"182" "224 Athens BlvdBuffalo, NY" "$139,900" -78.844498 42.977413
"183" "33 Monticello PlHamlin Park, Buffalo, NY" "$99,933" -78.8471722 42.9266612
"184" "600 Main St #901Central Business District, Buffalo, NY" "$219,000" -78.87282 42.890319
"185" "790 Walden AveSchiller Park, Buffalo, NY" "$119,900" -78.8068665 42.9060415
"186" "59 A StBroadway - Fillmore, Buffalo, NY" "$129,900" NA NA
"187" "138 Central AveLovejoy, Buffalo, NY" "$64,900" -78.8155762 42.8887903
"188" " Steubenville Pike #Lot C3Central Business District, Buffalo, NY" "$45,000" -80.1862492 40.4428596
"189" "254 Ashland AveFront Park, Buffalo, NY" "$299,900" -78.8789735 42.9116846
"190" "270 Tudor BlvdBuffalo, NY" "$107,000" -78.7958679 42.8306594
"191" "342 Cornwall AveGrider, Buffalo, NY" "$55,000" -78.822171 42.9241041
"192" "49 Massachusetts AveFront Park, Buffalo, NY" "$79,900" -78.8982986 42.9072647
"193" "95 Victory AveBuffalo, NY" "$175,000" NA NA
"194" "118 Rano StRiverside Park, Buffalo, NY" "$50,000" NA NA
"195" "247 Northwood DrBuffalo, NY" "$129,900" NA NA
"196" "2566 Main StLeroy, Buffalo, NY" "$155,000" -78.8407877 42.9381935
"197" "231 Richmond Ave #11Bryant, Buffalo, NY" "$257,777" -78.8816631 42.9087035
"198" "1026 Genesee StBroadway - Fillmore, Buffalo, NY" "$25,000" -78.8402392 42.902161
"199" "99 Elkhart StBuffalo, NY" "$116,000" -78.826796 42.815192
"200" "608 S Park AveSouth Ellicott, Buffalo, NY" "$64,900" -78.8570159 42.8706228
"201" "105 Hubbell AveAbbott McKinley, Buffalo, NY" "$72,000" -78.819762 42.8516715
"202" "98 Folger StTriangle, Buffalo, NY" "$74,900" -78.8277563 42.8496954
"203" "199 Greene StLovejoy, Buffalo, NY" "$54,500" -78.8093411 42.8903615
"204" "56 Sweeney StBroadway - Fillmore, Buffalo, NY" "$52,994" NA NA
"205" "338 Claremont AveKenilworth, Buffalo, NY" "$149,900" -78.8313571 42.9675969
"206" "123 Crowley AveRiverside Park, Buffalo, NY" "$59,900" NA NA
"207" "67 Moeller StSchiller Park, Buffalo, NY" "$47,500" -78.8237008 42.8976916
"208" "185 Meadow LnKenmore NE, Buffalo, NY" "$169,900" -78.859358 42.976187
"209" "78 Kerns AveSchiller Park, Buffalo, NY" "$27,900" -78.8107203 42.9171712
"210" "16 Robie StDelaware Park, Buffalo, NY" "$139,900" NA NA
"211" "1255 Colvin BlvdBuffalo, NY" "$185,000" -78.857968 42.975315
"212" "110 Domedion AveSchiller Park, Buffalo, NY" "$50,000" NA NA
"213" "15 Ritt AveMilitary, Buffalo, NY" "$79,900" NA NA
"214" "221 Crowley AveRiverside Park, Buffalo, NY" "$69,900" -78.9017742 42.9535919
"215" "1110 Parker BlvdKenilworth, Buffalo, NY" "$155,000" -78.8384976 42.9677817
"216" "372 Fulton StSouth Ellicott, Buffalo, NY" "$50,000" -78.8574196 42.8717259
"217" "14 Centerview DrBuffalo, NY" "$154,900" -78.761736 42.841023
"218" "95 Milburn StLovejoy, Buffalo, NY" "$49,900" NA NA
"219" "20 Paige AveKenilworth, Buffalo, NY" "$74,382" NA NA
"220" "771 Taunton PlStarin Central, Buffalo, NY" "$143,000" NA NA
"221" "263 Midland AveKenilworth, Buffalo, NY" "$124,900" -78.8368817 42.9681313
"222" "37 Sprenger AveSchiller Park, Buffalo, NY" "$39,900" -78.8034561 42.9109113
"223" "3278 Bailey AveLaSalle, Buffalo, NY" "$110,000" -78.814004 42.944083
"224" "155 Tuscarora RdSouth Abbott, Buffalo, NY" "$80,000" NA NA
"225" "247 Hazelwood AveKenfield, Buffalo, NY" "$48,500" NA NA
"226" "117 Grider StGrider, Buffalo, NY" "$49,900" NA NA
"227" "21 Fisher StSchiller Park, Buffalo, NY" "$50,000" NA NA
"228" "146 Hastings AveKensington, Buffalo, NY" "$60,000" -78.8081163 42.9367172
"229" "2054 Transit RdBuffalo, NY" "$145,000" -78.698454 42.823181
"230" "92 Albany StGrant Ferry, Buffalo, NY" "$49,900" NA NA
"231" "367 Voorhees AveStarin Central, Buffalo, NY" "$259,900" -78.8410719 42.9508581
"232" "95 Gibson StBroadway - Fillmore, Buffalo, NY" "$59,900" NA NA
"233" "231 Richmond Ave #11Bryant, Buffalo, NY" "$257,777" -78.8816631 42.9087035
"234" "157 15th StFront Park, Buffalo, NY" "$79,900" -78.8873656 42.9090738
"235" "443 University AveKenilworth, Buffalo, NY" "$99,777" -78.8278323 42.9642934
"236" "768 Ashland AveForest, Buffalo, NY" "$329,500" -78.8785935 42.9259231
"237" "335 Saint Lawrence AveNorth Park, Buffalo, NY" "$169,900" -78.856966 42.955902
"238" "402 Admirals Walk #402Waterfront, Buffalo, NY" "$319,000" -81.5469187 30.7655976
"239" "148 Hazelwood AveKenfield, Buffalo, NY" "$39,900" -78.806011 42.923197
"240" "360 Wellington AveKenilworth, Buffalo, NY" "$139,900" -78.8340334 42.9691063
"241" "182 Whitney PlLakeview, Buffalo, NY" "$86,900" -78.8838391 42.8951917
"242" "110 Newburgh AveSchiller Park, Buffalo, NY" "$54,900" NA NA
"243" "340 Barnard StKaisertown, Buffalo, NY" "$64,500" -78.8059778 42.8743041
"244" "83 Courtland AveSchiller Park, Buffalo, NY" "$49,983" -78.8065477 42.9219421
"245" "3338 Ashley DrBuffalo, NY" "$154,900" -78.8093294 42.7946954
"246" "116 Landon StKingsley, Buffalo, NY" "$49,800" -78.849542 42.910399
"247" "227 Forest AveForest, Buffalo, NY" "$85,900" NA NA
"248" "56 Ashton PlSouth Park, Buffalo, NY" "$49,000" -78.825062 42.836692
"249" "259 Breckenridge StGrant Ferry, Buffalo, NY" "$95,900" -78.8919914 42.9165726
"250" "319 Abbington AveBuffalo, NY" "$134,900" -78.8408885 42.9787763
"251" "1113 West AveGrant Ferry, Buffalo, NY" "$189,900" NA NA
"252" "103 Crystal AveTriangle, Buffalo, NY" "$100,000" -78.8283775 42.8457068
"253" "55 Wakefield AveLeroy, Buffalo, NY" "$125,000" -78.8370396 42.934322
"254" "30 Cable StKaisertown, Buffalo, NY" "$50,000" NA NA
"255" "79 Wilkes AveKenfield, Buffalo, NY" "$74,900" -78.8043153 42.9250075
"256" "136 N Ellwood AveKenilworth, Buffalo, NY" "$159,900" -78.840472 42.9688343
"257" "22 Ritt AveMilitary, Buffalo, NY" "$119,500" NA NA
"258" "424 East StBlack Rock, Buffalo, NY" "$82,900" -78.9047159 42.942599
"259" "431 Zimmerman BlvdBuffalo, NY" "$124,360" NA NA
"260" "4676 Brompton DrBuffalo, NY" "$275,000" NA NA
"261" "114 Waverly AveBuffalo, NY" "$98,900" NA NA
"262" "26 Carl StGrider, Buffalo, NY" "$12,000" NA NA
"263" "126 Auburn AveGrant Ferry, Buffalo, NY" "$74,900" -78.8959859 42.9186561
"264" "147 Fordham DrPark Meadow, Buffalo, NY" "$274,900" NA NA
"265" "134 Kingsley StKingsley, Buffalo, NY" "$29,900" -78.8489218 42.9083387
"266" "2010 Hertel AveStarin Central, Buffalo, NY" "$179,900" -78.8338074 42.9471531
"267" "1574 Electric AveBuffalo, NY" "$109,000" NA NA
"268" "1483 S Park AveTriangle, Buffalo, NY" "$124,900" NA NA
"269" "20 Hilldale AveBuffalo, NY" "$129,000" -78.764982 42.830001
"270" "270 Straley AveBuffalo, NY" "$110,000" -78.7859941 42.9119715
"271" "920 Prospect AveFront Park, Buffalo, NY" "$179,900" -78.8994192 42.9104163
"272" "33 Goulding AveHamlin Park, Buffalo, NY" "$79,900" NA NA
"273" "493 Riley StKingsley, Buffalo, NY" "$59,900" NA NA
"274" "57 Martin RdBuffalo, NY" "$89,500" -78.821727 42.816056
"275" "45 Edgewood AveKenilworth, Buffalo, NY" "$119,900" -78.8348328 42.9610852
"276" "138 Dunlop AveLaSalle, Buffalo, NY" "$47,900" NA NA
"277" "36 Susan LnSouth Abbott, Buffalo, NY" "$149,900" NA NA
"278" "3231 Clearview WayBuffalo, NY" "$159,900" NA NA
"279" "57 Virginia PlAllen, Buffalo, NY" "$599,000" NA NA
"280" "18 Weyand AveCazenovia Park, Buffalo, NY" "$60,000" NA NA
"281" "16 Commonwealth AveNorth Park, Buffalo, NY" "$240,000" -78.8621728 42.945137
"282" "554 Harlem RdBuffalo, NY" "$129,900" -78.7882319 42.858029
"283" "95 Floss AveSchiller Park, Buffalo, NY" "$45,000" -78.8046908 42.9187781
"284" "180 W Ferry StGrant Ferry, Buffalo, NY" "$74,500" -78.8950421 42.9153571
"285" "173 Selkirk StBabcock, Buffalo, NY" "$70,000" NA NA
"286" "92 Humason AveSchiller Park, Buffalo, NY" "$49,900" -78.799805 42.9162814
"287" "15 W Northrup PlLaSalle, Buffalo, NY" "$120,900" -78.8270623 42.9510211
"288" "220 Carl StGrider, Buffalo, NY" "$34,900" NA NA
"289" "214 Cleveland DrBuffalo, NY" "$65,000" NA NA
"290" "135 Madison AveBuffalo, NY" "$84,900" -78.8304725 42.7957798
"291" "387 Woodbridge AveNorth Park, Buffalo, NY" "$424,900" -78.8477725 42.945283
"292" "24 Holland PlMasten Park, Buffalo, NY" "$65,000" -78.8639613 42.9083488
"293" "132 Sweet AveBroadway - Fillmore, Buffalo, NY" "$38,900" -78.8338284 42.8933043
"294" "2307 Niagara StRiverside Park, Buffalo, NY" "$94,900" -78.9094822 42.9533851
"295" "335 Dearborn StBlack Rock, Buffalo, NY" "$64,900" -78.902849 42.9383443
"296" "1897-1899 Niagara StBlack Rock, Buffalo, NY" "$255,000" -78.902458 42.935702
"297" "731 W Ferry St #WDelaware-West Ferry, Buffalo, NY" "$849,000" -78.8732001 42.9151269
"298" "148 W Delavan AveForest, Buffalo, NY" "$59,900" -78.8942028 42.9224107
"299" "654 Taunton PlStarin Central, Buffalo, NY" "$139,900" -78.8399826 42.9545469
"300" "2009 Hertel AveStarin Central, Buffalo, NY" "$199,900" -78.8339851 42.9467643
"301" "28 Lobue Lane Plan in Sky HarborBuffalo, NY" "$73,545+" NA NA
"302" "81 Jenny Lane Plan in Sky HarborBuffalo, NY" "$71,995+" NA NA
"303" "146-148 Congress StGrant Ferry, Buffalo, NY" "$85,000" -78.8914008 42.9217779
"304" "31 Roeder StMLK Park, Buffalo, NY" "$41,500" -78.8379994 42.9117643
"305" "134 Best StMasten Park, Buffalo, NY" "$175,000" -78.8599625 42.9058938
"306" "34 Sandrock RdRiverside Park, Buffalo, NY" "$99,000" -78.904039 42.94737
"307" "235 Northland AveHamlin Park, Buffalo, NY" "$62,000" -78.851222 42.919055
"308" "813 West AveGrant Ferry, Buffalo, NY" "$68,900" -78.8973481 42.9126151
"309" "874 Hertel AveNorth Delaware, Buffalo, NY" "$119,000" -78.876074 42.9480379
"310" "52 Navel AveSchiller Park, Buffalo, NY" "$35,000" -78.8116374 42.9180047
"311" "164 Farmer StBlack Rock, Buffalo, NY" "$65,000" -78.9001774 42.9413586
"312" "127 Aldrich PlSouth Park, Buffalo, NY" "$165,000" -78.8190043 42.8327059
"313" "83 Theodore StSchiller Park, Buffalo, NY" "$79,900" -78.8080191 42.9121183
"314" "134 French StMLK Park, Buffalo, NY" "$29,900" NA NA
"315" "65 Villa AveNorth Park, Buffalo, NY" "$139,900" -78.866893 42.95776
"316" "552 Crescent AveParkside, Buffalo, NY" "$224,800" NA NA
"317" "29 Hunt AveRiverside Park, Buffalo, NY" "$59,800" NA NA
"318" "43 Lewis StBabcock, Buffalo, NY" "$42,000" NA NA
"319" "176 W Delavan AveForest, Buffalo, NY" "$109,900" -78.89306 42.9221952
"320" "622 Taunton PlStarin Central, Buffalo, NY" "$110,000" -78.8412152 42.9545892
"321" "92 Garner AveForest, Buffalo, NY" "$144,900" NA NA
"322" "8 Schreck AveKenfield, Buffalo, NY" "$60,000" -78.8175455 42.9255843
"323" "137 Peabody StBabcock, Buffalo, NY" "$39,900" NA NA
"324" "327 W Delavan AveForest, Buffalo, NY" "$214,900" -78.8873136 42.9219098
"325" "40 Glenmar DrBuffalo, NY" "$168,900" NA NA
"326" "23 Celtic PlKingsley, Buffalo, NY" "$64,900" -78.8463448 42.911749
"327" "53 La Force PlMilitary, Buffalo, NY" "$4,000" -78.889345 42.948225
"328" "751 W Ferry St #7ADelaware-West Ferry, Buffalo, NY" "$189,900" -78.8729364 42.9151026
"329" "39 Junior AveCazenovia Park, Buffalo, NY" "$70,000" -78.8009311 42.852607
"330" "29 Inter Park AveGrider, Buffalo, NY" "$49,000" -78.8419538 42.9153096
"331" "127 Lyndale AveKenilworth, Buffalo, NY" "$99,127" NA NA
