ID,name,price,lon,lat
109,"118 Croyden Rd Eastside, Syracuse, NY",144900 ,-76.1086850 ,43.0312043 
110,"117 Lookout Cir Syracuse, NY",125000 ,-76.2418170 ,43.0584050 
111,"429 N Franklin St #101 Lakefront, Syracuse, NY",775000 ,-76.1562164 ,43.0553564 
112,"103 Rugby Rd Eastwood, Syracuse, NY",184900 ,-76.1210004 ,43.0668007 
113,"468 Brattle Rd Northside, Syracuse, NY",169900 ,-76.1283541 ,43.0705540 
114,"352 Hillsdale Ave Eastwood, Syracuse, NY",82000 ,-76.1085339 ,43.0624076 
115,"4175 Onondaga Blvd Syracuse, NY",239900 ,-76.2241581 ,43.0309133 
116,"304 S Midler Ave Eastwood, Syracuse, NY",93900 ,-76.1049329 ,43.0638867 
117,"902 Velasko Rd Southside, Syracuse, NY",84900 ,-76.1857337 ,43.0280711 
118,"310 Hurlburt Rd Eastside, Syracuse, NY",259900 ,-76.1008898 ,43.0385460 
119,"408 Erie St #12 Westside, Syracuse, NY",127000 ,-93.1217464 ,44.9289674 
120,"4346 Shea Rd Syracuse, NY",134900 ,-76.1982786 ,42.9818144 
121,"3995 W Langerwood Ln Syracuse, NY",229900 ,-76.2335335 ,43.0095990 
122,"485 Lillian Ave Eastwood, Syracuse, NY",125000 ,-76.1111051 ,43.0758269 
123,"4479 Broad Rd Syracuse, NY",229900 ,-76.1677952 ,42.9883376 
124,"333 Wynthrop Rd Syracuse, NY",122500 ,-76.2077330 ,43.0492599 
125,"119 Beley Ave Syracuse, NY",74500 ,-76.1428509 ,43.1006330 
126,"226 Darlington Rd Northside, Syracuse, NY",92500 ,-76.1361345 ,43.0757748 
127,"927 Jamesville Ave Eastside, Syracuse, NY",109900 ,-76.1293513 ,43.0176357 
128,"4821 McDonald Rd Syracuse, NY",132900 ,-76.1817260 ,43.0173460 
129,"226 Brattle Rd Northside, Syracuse, NY",249900 ,-76.1281854 ,43.0646924 
130,"4973 Bryn Mawr Dr Syracuse, NY",249900 ,-76.1776867 ,43.0110943 
131,"203 Mason Dr Syracuse, NY",95700 ,-76.2422455 ,43.0370695 
132,"712-714 Oak St Northside, Syracuse, NY",78900 ,-76.1360666 ,43.0630727 
133,"170 Hood Ave Northside, Syracuse, NY",91900 ,-76.1447425 ,43.0746428 
134,"352 Marlborough Rd Eastwood, Syracuse, NY",77000 ,-76.1120401 ,43.0731790 
135,"913 Crawford Ave Eastside, Syracuse, NY",159900 ,-76.1101495 ,43.0297417 
136,"377 W Onondaga St #402 Westside, Syracuse, NY",76900 ,-76.1563183 ,43.0411818 
137,"136 Baker Blvd Syracuse, NY",69900 ,-76.2928500 ,43.1207380 
138,"424 Douglas St Northside, Syracuse, NY",64000 ,-76.1367889 ,43.0614650 
139,"101 Windsor Pl Eastside, Syracuse, NY",339000 ,-76.1248869 ,43.0318856 
140,"525 Lemoyne Ave Northside, Syracuse, NY",35000 ,-76.1617021 ,43.0723348 
141,"133 Walton St #126 Downtown, Syracuse, NY",224500 ,-76.1543281 ,43.0479338 
142,"205 Highland Ave Northside, Syracuse, NY",158083 ,-76.1376600 ,43.0602708 
143,"213 Snowdale Dr Syracuse, NY",95000 ,-76.2952850 ,43.1214790 
144,"415 1st St Syracuse, NY",88400 ,-76.2200110 ,43.0607250 
145,"200 Woodbury Ave Lyncourt, Syracuse, NY",149900 ,-76.1222440 ,43.0774210 
146,"377 W Onondaga St #308 Westside, Syracuse, NY",69900 ,-76.1563183 ,43.0411818 
147,"281 Briggs St Northside, Syracuse, NY",77900 ,-76.1367203 ,43.0773593 
148,"5265 Jamesville Rd Syracuse, NY",158000 ,-76.0721437 ,43.0261721 
149,"504 Spring St Northside, Syracuse, NY",84900 ,-76.1494305 ,43.0676857 
150,"230 Sunrise Dr Valley, Syracuse, NY",114000 ,-76.1379806 ,42.9949745 
151,"301 Hamilton Pkwy Syracuse, NY",174900 ,-76.0754210 ,43.0241870 
152,"435 Clover Ridge Dr Eastwood, Syracuse, NY",112900 ,-76.0923877 ,43.0616307 
153,"131 Cresline Dr Eastwood, Syracuse, NY",119900 ,-76.0993677 ,43.0632782 
154,"150 Harford Rd Northside, Syracuse, NY",61000 ,-76.1441400 ,43.0826662 
155,"169 Reed Ave Southside, Syracuse, NY",34200 ,-76.1813844 ,43.0306576 
156,"113 Upland Rd Southside, Syracuse, NY",84900 ,-76.1837516 ,43.0314809 
157,"210 Erie St Westside, Syracuse, NY",89900 ,-76.1911479 ,43.0527690 
158,"219 Campbell Rd Syracuse, NY",104900 ,-76.1400960 ,43.1031570 
159,"139 Delong Ave Northside, Syracuse, NY",34900 ,-76.1491375 ,43.0719086 
160,"148 Winthrop Rd Eastwood, Syracuse, NY",114900 ,-76.0978305 ,43.0654985 
161,"1206 Butternut St #2 Northside, Syracuse, NY",65000 ,-76.1430565 ,43.0667281 
162,"112 Clearview Dr Syracuse, NY",114900 ,-76.2264355 ,43.0508964 
163,"262 W Corning Ave Southside, Syracuse, NY",9900 ,-76.1479182 ,43.0184089 
164,"212 Griffiths St Northside, Syracuse, NY",49900 ,-76.1454282 ,43.0692320 
165,"103 Henderson Blvd Syracuse, NY",115000 ,-76.2878705 ,43.1230392 
166,"107 Sunnybrook Dr Syracuse, NY",156900 ,-76.2327465 ,43.0494237 
167,"218 Parkway Dr Southside, Syracuse, NY",109900 ,-76.1638222 ,43.0244620 
168,"139 Normanor Dr Valley, Syracuse, NY",79900 ,-76.1504325 ,42.9960540 
169,"213 Springbrook Ave Valley, Syracuse, NY",58412 ,-76.1385192 ,43.0067351 
170,"141 Hughes Pl Eastside, Syracuse, NY",67900 ,-76.1330879 ,43.0242941 
171,"112 Smith Rd Valley, Syracuse, NY",40459 ,-76.1553279 ,43.0044591 
172,"101 Winkworth Pkwy Southside, Syracuse, NY",142700 ,-76.1931180 ,43.0287859 
173,"138 Hampton Rd Northside, Syracuse, NY",214900 ,-76.1234705 ,43.0661021 
174,"4329 Fay Rd Syracuse, NY",55624 ,-76.2143536 ,43.0290373 
175,"316 W Matson Ave #22 Southside, Syracuse, NY",16900 ,-76.1492921 ,43.0128659 
176,"219 Lindbergh Rd Nedrow, Syracuse, NY",64900 ,-76.1479954 ,42.9807129 
177,"100 Roxann Ave Syracuse, NY",71250 ,-76.1230430 ,43.1337770 
178,"1143 Cumberland Ave Eastside, Syracuse, NY",140000 ,-76.1119544 ,43.0245738 
179,"4627 Tucker Rd Syracuse, NY",119900 ,-76.1952972 ,42.9813105 
180,"1441 Midland Ave Southside, Syracuse, NY",19900 ,-76.1506984 ,43.0245752 
181,"404 Burdick Ave Northside, Syracuse, NY",77900 ,-76.1560260 ,43.0777820 
182,"222 Crawford Ave Eastside, Syracuse, NY",164900 ,-76.1101967 ,43.0395694 
183,"163 Redfield Pl Eastside, Syracuse, NY",144000 ,-76.1207463 ,43.0378369 
184,"403 Carbon St Northside, Syracuse, NY",39900 ,-76.1477199 ,43.0655955 
185,"205 Hawthorne St Eastside, Syracuse, NY",70029 ,-76.1204130 ,43.0442290 
186,"416 Willumae Dr Northside, Syracuse, NY",49900 ,-76.1576839 ,43.0793333 
187,"504 Winkworth Pkwy Southside, Syracuse, NY",225000 ,-76.1991801 ,43.0255641 
188,"503 Standish Dr Syracuse, NY",274900 ,-76.1016355 ,43.0316399 
189,"133 Walton St #128 Downtown, Syracuse, NY",229000 ,-76.1543281 ,43.0479338 
190,"400 Corey Rd Syracuse, NY",94900 ,-76.1989382 ,43.0396393 
191,"1117 W Onondaga St #21 Southside, Syracuse, NY",190000 ,-76.1705013 ,43.0341068 
